yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,total_player_salaries,med_player_salary,min_player_salary,max_player_salary,salary_var,Salary Rank,Threshold,over_threshold,times_over_threshold
1986,NL,ATL,ATL,W,6,161,81.0,72,89,N,,N,N,615,5384,1348,241,24,138,538,904.0,93.0,76.0,,,719,628,3.97,17,5,39,4272,1443,117,576,932,141,181.0,0.97,Atlanta Braves,Atlanta-Fulton County Stadium,1387181.0,105,106,ATL,ATL,ATL,17102786,505000.0,60000,1825000,251495512090.6182,3,0.0,0,0
1986,AL,BAL,BAL,E,7,162,79.0,73,89,N,,N,N,708,5524,1425,223,13,169,563,862.0,64.0,34.0,,,760,686,4.3,17,6,39,4308,1451,177,535,954,135,163.0,0.97,Baltimore Orioles,Memorial Stadium,1973176.0,98,99,BAL,BAL,BAL,13001258,400000.0,60000,1190000,101610513698.04678,9,0.0,0,0
1986,AL,BOS,BOS,E,1,161,81.0,95,66,Y,,Y,N,794,5498,1488,320,21,144,595,707.0,41.0,34.0,,,696,624,3.93,36,6,41,4287,1469,167,474,1033,129,146.0,0.97,Boston Red Sox,Fenway Park II,2147641.0,101,100,BOS,BOS,BOS,14402239,375000.0,60000,1984423,193988652878.20938,7,0.0,0,0
1986,AL,CAL,ANA,W,1,162,82.0,92,70,Y,,N,N,786,5433,1387,236,36,167,671,860.0,109.0,42.0,,,684,621,3.84,29,12,40,4368,1356,153,478,955,107,156.0,0.98,California Angels,Anaheim Stadium,2655872.0,99,99,CAL,CAL,CAL,14427258,425000.0,60000,1200000,132321750742.23396,6,0.0,0,0
1986,AL,CHA,CHW,W,5,162,81.0,72,90,N,,N,N,644,5406,1335,197,34,121,487,940.0,115.0,54.0,,,699,630,3.93,18,8,38,4326,1361,143,561,895,117,142.0,0.98,Chicago White Sox,Comiskey Park,1424313.0,104,104,CHW,CHA,CHA,10418819,195000.0,60000,1132652,112298190921.52905,17,0.0,0,0
1986,NL,CHN,CHC,E,5,160,80.0,70,90,N,,N,N,680,5499,1409,258,27,155,508,966.0,132.0,62.0,,,781,721,4.49,11,6,42,4335,1546,143,557,962,124,147.0,0.98,Chicago Cubs,Wrigley Field,1859102.0,107,108,CHC,CHN,CHN,17208165,558333.0,60000,1530000,156221115710.29034,2,0.0,0,0
1986,NL,CIN,CIN,W,2,162,81.0,86,76,N,,N,N,732,5536,1404,237,35,144,586,920.0,177.0,53.0,,,717,638,3.91,14,8,45,4404,1465,136,524,924,140,160.0,0.97,Cincinnati Reds,Riverfront Stadium,1692432.0,104,104,CIN,CIN,CIN,11906388,248750.0,60000,1150000,137707134138.93796,12,0.0,0,0
1986,AL,CLE,CLE,E,5,163,81.0,84,78,N,,N,N,831,5702,1620,270,45,157,456,944.0,141.0,54.0,,,841,736,4.58,31,7,34,4341,1548,167,605,744,156,148.0,0.97,Cleveland Indians,Cleveland Stadium,1471805.0,98,99,CLE,CLE,CLE,7809500,177500.0,60000,1100000,61026451612.90323,24,0.0,0,0
1986,AL,DET,DET,E,3,162,81.0,87,75,N,,N,N,798,5512,1447,234,30,198,613,885.0,138.0,58.0,,,714,645,4.02,33,12,38,4329,1374,183,571,880,108,163.0,0.98,Detroit Tigers,Tiger Stadium,1899437.0,100,99,DET,DET,DET,12335714,325000.0,60000,1200000,118366841013.44727,11,0.0,0,0
1986,NL,HOU,HOU,W,1,162,81.0,96,66,Y,,N,N,654,5441,1388,244,32,125,536,916.0,163.0,75.0,,,569,510,3.15,18,19,51,4368,1203,116,523,1160,130,108.0,0.97,Houston Astros,Astrodome,1734276.0,97,96,HOU,HOU,HOU,9873276,345833.5,60000,1125000,102270445005.13043,20,0.0,0,0
1986,AL,KCA,KCR,W,3,162,81.0,76,86,N,,N,N,654,5561,1403,264,45,137,474,919.0,97.0,46.0,,,673,611,3.82,24,13,31,4320,1413,121,479,888,123,153.0,0.98,Kansas City Royals,Royals Stadium,2320794.0,102,101,KCR,KCA,KCA,13043698,380000.0,60000,1471429,152717948859.49738,8,0.0,0,0
1986,NL,LAN,LAD,W,5,162,81.0,73,89,N,,N,N,638,5471,1373,232,14,130,478,966.0,155.0,67.0,,,679,607,3.76,35,14,25,4362,1428,115,499,1051,179,118.0,0.97,Los Angeles Dodgers,Dodger Stadium,3023208.0,93,93,LAD,LAN,LAN,14913776,392242.5,60000,1600000,155113784513.61295,5,0.0,0,0
1986,AL,MIN,MIN,W,6,162,81.0,71,91,N,,N,N,741,5531,1446,257,39,196,501,977.0,81.0,61.0,,,839,759,4.77,39,6,24,4296,1579,200,503,937,118,168.0,0.98,Minnesota Twins,Hubert H Humphrey Metrodome,1255453.0,102,102,MIN,MIN,MIN,8748167,237500.0,60000,1450000,146733162761.18832,23,0.0,0,0
1986,AL,ML4,MIL,E,6,161,80.0,77,84,N,,N,N,667,5461,1393,255,38,127,530,986.0,100.0,50.0,,,734,638,4.01,29,12,32,4293,1478,158,494,952,146,146.0,0.97,Milwaukee Brewers,County Stadium,1265041.0,103,104,MIL,MIL,MIL,9943642,165000.0,60000,1160000,116838651596.36505,18,0.0,0,0
